DTD,FARE_YQ_TICKET,stay_length_days,pax_total,ADULTS,TEENAGERS,CHILDREN,INFANTS,has_child_or_infant,has_teenager,is_logged_in,has_loyalty,segment_count,has_connection,travel_span_hours,HOUR_OF_THE_DAY_PL_TIME,emd_price,display_position,is_hub_caj_route,product,MARKET,LANGUAGE,FLIGHT_TYPE,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,LOGIN_STATUS,origin_area,destination_area,route_direction,origin_prefix,destination_prefix,dtd_bucket,fare_bucket,stay_bucket,first_booking_class,first_rbd,actual_sold,predicted_probability,expected_revenue
,506.9037575,10.42361111111111,5,4,1,0,0,0,1,1,0,2,1,264.8333333333333,22.0,74.5242,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Organic Search,Organic Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,,very_high,9_14,Y,U,1,0.9428116,70.2622808603525
3.0,149.2479878,,3,2,1,0,0,0,1,1,0,1,0,2.3333333333333335,16.0,87.3732,2,0,BAGGAGE,UPPER VERTEX,LANG_11,One-Way,apple,Direct,Direct,Logged-In,AREA_B,AREA_B,AREA_B_TO_AREA_B,BA,BE,0_3,very_high,unknown_or_oneway,Y,E,0,0.80178374,70.05441111724376
34.0,331.6429692,,9,9,0,0,0,0,0,1,0,1,0,2.3333333333333335,10.0,87.3732,2,0,BAGGAGE,UPPER APEX,LANG_09,One-Way,google,Direct,Organic Search,Logged-In,AREA_B,AREA_B,AREA_B_TO_AREA_B,BA,BE,31_60,very_high,unknown_or_oneway,Y,H,0,0.8011838,70.0019941215992
198.0,312.5677721,15.78125,4,1,2,1,0,1,1,0,0,4,1,382.0,22.0,87.5171088,4,0,BAGGAGE,LOWER VERTEX,LANG_02,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_D,AREA_C,AREA_D_TO_AREA_C,DA,CU,120_plus,very_high,15_30,Y,U,1,0.79819316,69.85555734001036
225.0,464.9603385,21.552083333333332,4,4,0,0,0,0,0,0,0,4,1,520.5,19.0,87.5171088,4,0,BAGGAGE,LOWER VERTEX,LANG_02,Round-Trip,apple,Paid Search,Paid Search,Logged-Out,AREA_D,AREA_C,AREA_D_TO_AREA_C,DA,CU,120_plus,very_high,15_30,Y,U,0,0.797284,69.77599119145947
7.0,165.0770992,19.07986111111111,2,2,0,0,0,0,0,1,0,4,1,458.9166666666667,23.0,89.42904,2,0,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,mozilla,Paid Search,Referrals,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,4_7,very_high,15_30,Y,L,0,0.7769621,69.48297484990597
200.0,480.4716513,15.993055555555555,3,3,0,0,0,0,0,1,1,2,1,404.4166666666667,23.0,89.42904,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Internal,Organic Search,Logged-In,AREA_C,AREA_D,AREA_C_TO_AREA_D,CA,DA,120_plus,very_high,15_30,Y,L,0,0.7700415,68.86407437343121
101.0,240.6626266,9.20486111111111,3,2,0,1,0,1,0,0,0,3,1,221.83333333333334,6.0,78.6975552,2,0,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_B,AREA_B,AREA_B_TO_AREA_B,BE,BU,61_120,very_high,9_14,Y,U,1,0.8715752,68.59083558054542
13.0,578.0371064,11.211805555555555,4,2,1,1,0,1,1,1,0,2,1,285.25,11.0,77.8341024,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Organic Search,Organic Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BO,8_14,very_high,9_14,Y,T,1,0.88121516,68.58859062040501
318.0,231.9535744,21.21875,2,2,0,0,0,0,0,0,0,2,1,529.8333333333334,22.0,95.1631204,1,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Organic Search,Organic Search,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CA,DA,120_plus,very_high,15_30,Y,L,0,0.7177396,68.30233826358966
